FlowDuration,TotalFwdPackets,TotalBackwardPackets,FwdPacketLengthMean,BwdPacketLengthMean,FlowBytesPerSec,FlowPacketsPerSec,Label
121959,2462,4980,270.13944659371055,71.39281833394234,969439.3756758784,522.373263966801,0
671156,4347,4637,39.640142315595874,194.71734003883662,693209.5422188678,7.219947003717753,0
131933,4855,4267,282.92528015662333,475.85120319526857,70916.19143856953,316.5963484126467,1
365839,1805,740,454.00927271083117,159.8604246699271,189360.87579186278,677.1907236726554,0
259179,3213,1402,198.15631274911027,434.0490799335314,771323.14321685,484.03894022784846,0
644168,3811,3260,148.16290094990003,440.6253408409449,841439.7599562447,978.2694859989881,1
110269,814,2278,71.73472850901003,175.09326216598055,617694.5861885909,874.1037960662107,0
732181,4125,3905,75.72276096767865,41.62882902531606,644423.1696298165,359.0707790431512,0
54887,2033,3924,216.38574217090945,362.2789545794091,28337.450383384643,45.4865414722746,0
137338,4573,4215,297.83991208076475,155.756149506993,828530.2595815085,845.6263001150188,0
999891,4414,3228,40.30770258480088,391.4618071287862,788275.2081708297,911.2343103146713,1
521431,245,2832,469.78429451258285,221.32742413021654,259035.14410334715,820.6273934190368,0
954699,4844,3759,377.56680872259795,242.63337117131078,708676.7199655069,127.94994091976486,0
87499,4793,2513,293.3119591418313,388.95470337426843,214854.60642499808,997.9151344122878,0
899160,272,2152,414.21933546949543,191.18166553081394,40330.161051512994,258.58422155277384,1
912757,3512,3676,40.093378406056644,221.56367266145728,201136.54259037727,724.2049128083701,0
175204,1772,2746,238.4194388665622,188.09523438481108,178628.8767542995,908.0348763357216,0
191336,1263,3867,315.0465634308317,183.67025763863998,337747.99673484726,235.68711433070945,1
278168,2425,3765,414.3264530591446,262.9732884507297,418449.4971754581,908.2585546770661,0
41091,4362,2223,391.73478002463384,404.39972225057534,508538.8914977079,309.481579194867,1
329366,921,2793,138.53462485669982,180.88415596128294,476753.87550832814,976.4132223840561,0
64821,3431,1698,470.44008477960216,262.12736026886836,270674.60596528935,281.2600203804746,0
787202,4436,3463,62.172920715435176,335.36366272130044,29170.668574074465,953.4358247578351,0
321880,4485,4064,437.56680931057605,134.7197231518275,605101.6222371507,53.54465089267491,0
718316,2625,1525,485.4701248023093,138.7614024511963,395744.8298473544,709.272011669813,0
327070,3761,4761,88.57676161131278,466.7065635117274,298672.1573875497,532.1111338370036,0
776998,2051,33,361.0330321018926,361.7672866655443,866941.0428305123,477.87707712273067,0
199042,3501,4026,20.14275938899923,288.5933381116544,746743.3077981598,223.49431425583998,0
791744,1166,2567,202.71141256957748,323.860027210306,857765.5483724423,705.595789776492,0
103356,376,2804,258.14164959883703,14.649721551709183,494982.794712461,190.8094914463071,1
235797,2034,3897,290.32261295481703,309.0514827808484,130931.25212677747,552.8417959847683,0
214177,146,3710,467.96862412427976,254.75443661210096,696221.4361212724,253.2453630402508,1
184780,4389,720,336.12534364709734,272.87483988971786,206073.77993717525,955.621379781356,0
347450,432,4580,240.6389756096185,179.71191341540853,441229.6690917168,28.631193835652823,0
421910,705,973,404.83751813294464,40.736948856470946,65000.7889488885,199.72828011123656,0
989437,2633,3719,475.2664104772045,96.6696168060261,825308.4024229824,242.31060638744773,1
258796,4495,4403,11.033074341145422,475.37235660633587,125940.64104750058,414.06782576781643,1
486233,964,4553,491.26063612801937,204.34978113546697,903097.5070493097,232.73024187005353,0
917041,2235,2208,43.06606953184017,233.34157791543208,864230.6022615571,491.34909026878523,1
500187,2042,4427,407.19338963438065,26.354894926719496,464582.7644392461,872.465523258539,0
156731,1829,4321,140.16737627570623,18.783114771990295,744368.2043039907,712.0634214091708,0
870911,2109,3031,66.08982887693587,358.5907235233788,619445.0738181532,579.961980535111,1
384682,4069,3576,219.92781985691744,269.0473320605556,803075.6423377448,89.00317798267965,1
149504,939,3117,321.97828972380677,254.35299210813332,431805.1007859121,693.9921083892756,1
654812,4806,3286,190.4759225117375,121.56226521133433,785808.48424435,166.41428431093985,0
527036,807,644,27.282704141349477,372.3753658149611,462456.817065148,786.367385961698,0
648144,1464,4712,299.73056982935833,84.11828955424593,940965.7878427939,250.0567585101532,0
452367,3416,195,451.20163805533736,94.96737183051002,486372.1008251476,417.0487283209009,0
65726,11,3997,191.60768297362586,230.35608567413774,462619.2719337295,350.47020231792794,1
129982,1869,489,108.16638881541351,143.13993105597044,785071.8615635127,858.8139146748568,0
84655,4868,2205,221.2886729664077,123.73149061657318,821577.6917608379,126.54445871340813,0
953278,885,2658,24.181355524390437,322.6188222766658,554489.1143211707,565.6448823847886,0
905779,3565,3277,410.2437922401374,325.48587260927223,179797.8134950754,142.06160944306222,0
591724,1390,1103,413.1704054750934,412.2585348999646,467758.2309575795,704.7958361321867,0
319031,3402,1242,294.0002317148142,208.85428348648793,968072.5029096784,905.0781277944811,0
328948,4322,516,176.55144446919473,36.54254551307512,752986.1930391851,434.6076538672534,1
